alan,odasayisi,binayasi,fiyat
180,5,10,510000
225,4,18,508000
260,3,2,548000
320,6,10,650000
335,4,9,628000
345,5,14,632000
355,3,0,680000
400,4,10,725000
443,4,13,779818
309,4,16,632019
215,4,2,488144
343,3,11,613367
226,3,17,626964
316,4,10,652602
281,6,13,654963
277,4,10,683236
316,5,12,492286
212,4,6,620128
389,6,8,615926
314,3,10,509489
298,5,0,581705
278,3,4,713336
257,5,6,532731
361,3,22,805102
374,5,6,731296
345,4,17,529871
277,5,6,612467
371,5,8,651657
307,4,16,619301
237,3,7,602451
442,3,9,574718
232,4,1,701083
310,5,7,556135
355,6,11,625819
233,3,4,628583
262,4,16,741613
381,4,2,677199
418,5,1,627509
444,5,14,555090
298,6,8,759082
339,6,10,450731
387,4,2,549186
381,5,17,569715
263,4,6,583275
345,2,24,704507
351,4,7,630182
302,2,13,610144
280,6,1,665131
275,4,12,751094
374,4,5,707084
231,3,4,593193
322,4,8,595274
331,3,12,673214
281,5,13,698614
410,4,3,835357
343,5,10,670412
325,5,7,608379
268,4,11,592343
362,4,11,506790
411,6,17,609088
112,5,11,478903
334,5,10,673820
336,3,5,564939
309,6,8,645248
302,3,7,616134
308,5,13,655644
344,5,4,603284
297,5,6,676321
304,5,13,643271
312,7,6,578686
150,5,2,758840
298,5,17,649916
380,5,0,741236
260,3,0,644945
272,4,0,740414
272,5,6,542953
237,3,11,610665
354,2,9,560686
335,3,13,709682
242,3,4,753541
365,3,3,673102
348,6,11,630210
316,3,16,625113
227,3,18,577896
286,3,11,551527
501,4,10,742745
241,4,7,703213
302,6,20,571120
301,4,6,666429
460,4,11,379729
386,6,9,747827
332,6,11,578400
183,4,2,563607
319,2,0,549870
342,3,10,415784
253,1,6,571253
220,4,9,564317
410,4,14,602553
327,5,0,556686
325,4,15,563198
380,5,10,608699
260,2,4,588223
246,5,11,594960
297,6,12,647288
129,6,0,536515
235,6,7,500644
290,5,7,606004
283,5,12,608588
